"full_name","constituency","party","profile_url","dail_term","dail_period","number_of_seats","term_number"
"James Nicholas Dolan","Leitrim","Sinn Féin","/en/members/member/James-Nicholas-Dolan.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"George Gavan Duffy","Dublin South","Sinn Féin","/en/members/member/George-Gavan-Duffy.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Edmund John Duggan","Meath South","Sinn Féin","/en/members/member/Edmund-John-Duggan.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Seán Etchingham","Wicklow East","Sinn Féin","/en/members/member/Seán-Etchingham.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Frank Fahy","Galway South","Sinn Féin","/en/members/member/Frank-Fahy.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Desmond FitzGerald","Dublin Pembroke","Sinn Féin","/en/members/member/Desmond-FitzGerald.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Peter Paul Galligan","Cavan West","Sinn Féin","/en/members/member/Peter-Paul-Galligan.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Laurence Ginnell","Westmeath","Sinn Féin","/en/members/member/Laurence-Ginnell.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Arthur Griffith","Cavan East","Sinn Féin","/en/members/member/Arthur-Griffith.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Richard Francis Hayes","Limerick East","Sinn Féin","/en/members/member/Richard-Francis-Hayes.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Seán Hayes","Cork West","Sinn Féin","/en/members/member/Seán-Hayes.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Thomas Hunter","Cork North East","Sinn Féin","/en/members/member/Thomas-Hunter.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Thomas Kelly","Dublin St Stephen's Green","Sinn Féin","/en/members/member/Thomas-Kelly.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"David Rice Kent","Cork East","Sinn Féin","/en/members/member/David-Rice-Kent.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Frank J. Lawless","Dublin North","Sinn Féin","/en/members/member/Frank-J-Lawless.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"James Lennon","Carlow","Sinn Féin","/en/members/member/James-Lennon.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Diarmuid Christopher Lynch","Cork South East","Sinn Féin","/en/members/member/Diarmuid-Christopher-Lynch.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Fionán Lynch","Kerry South","Sinn Féin","/en/members/member/Fionán-Lynch.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Alasdair Mac Cába","Sligo South","Sinn Féin","/en/members/member/Alexander-McCabe.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Joseph MacBride","Mayo West","Sinn Féin","/en/members/member/Joseph-MacBride.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Joseph Michael MacDonagh","Tipperary North","Sinn Féin","/en/members/member/Joseph-Michael-MacDonagh.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Seán MacEntee","Monaghan South","Sinn Féin","/en/members/member/Seán-MacEntee.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Eoin MacNeill","Londonderry City","Sinn Féin","/en/members/member/Eoin-MacNeill.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Terence J. MacSwiney","Cork Mid","Sinn Féin","/en/members/member/Terence-J-MacSwiney.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Pierce McCann","Tipperary East","Sinn Féin","/en/members/member/Pierce-McCann.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Patrick McCartan","King's County","Sinn Féin","/en/members/member/Patrick-McCartan.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Joseph McGrath","Dublin St James's","Sinn Féin","/en/members/member/Joseph-McGrath.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Joseph McGuinness","Longford","Sinn Féin","/en/members/member/Joseph-McGuinness.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Liam J. Mellows","Galway East","Sinn Féin","/en/members/member/Liam-J-Mellows.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Patrick James Moloney","Tipperary South","Sinn Féin","/en/members/member/Patrick-James-Moloney.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Richard James Mulcahy","Dublin Clontarf","Sinn Féin","/en/members/member/Richard-James-Mulcahy.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Art O'Connor","Kildare South","Sinn Féin","/en/members/member/Art-O'Connor.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Joseph O'Doherty","Donegal North","Sinn Féin","/en/members/member/Joseph-O'Doherty.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Brian O'Higgins","Clare West","Sinn Féin","/en/members/member/Brian-O'Higgins.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Kevin Christopher O'Higgins","Queen's County","Sinn Féin","/en/members/member/Kevin-Christopher-O'Higgins.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Patrick O'Keeffe","Cork North","Sinn Féin","/en/members/member/Patrick-O'Keeffe.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Seán T. O'Kelly","Dublin College Green","Sinn Féin","/en/members/member/Seán-T-O'Kelly.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"John O'Mahoney","Fermanagh South","Sinn Féin","/en/members/member/John-O'Mahoney.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"James O'Mara","Kilkenny South","Sinn Féin","/en/members/member/James-O'Mara.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"George Noble Plunkett","Roscommon North","Sinn Féin","/en/members/member/George-Noble-Plunkett.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"James Ryan","Wexford South","Sinn Féin","/en/members/member/James-Ryan.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"William Sears","Mayo South","Sinn Féin","/en/members/member/William-Sears.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Philip Shanahan","Dublin Harbour","Sinn Féin","/en/members/member/Philip-Shanahan.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Austin Stack","Kerry West","Sinn Féin","/en/members/member/Austin-Stack.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Michael Staines","Dublin St Michan's","Sinn Féin","/en/members/member/Michael-Staines.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Joseph Aloysius Sweeney","Donegal West","Sinn Féin","/en/members/member/Joseph-Aloysius-Sweeney.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Roger M. Sweetman","Wexford North","Sinn Féin","/en/members/member/Roger-M-Sweetman.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"James Joseph Walsh","Cork City","Sinn Féin","/en/members/member/James-Joseph-Walsh.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Peter J. Ward","Donegal South","Sinn Féin","/en/members/member/Peter-J-Ward.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Constance Georgina de Markievicz","Dublin St Patrick's","Sinn Féin","/en/members/member/Co<U+FEFF>nstance-Georgina-de-Markievicz.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Liam de Róiste","Cork City","Sinn Féin","/en/members/member/Liam-de-Róiste.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Eamon de Valera","Clare East","Sinn Féin","/en/members/member/Eamon-de-Valera.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Seán Ó Ceallaigh","Louth","Sinn Féin","/en/members/member/Seán-Ó-Ceallaigh.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Pádraic Ó Maille","Galway Connemara","Sinn Féin","/en/members/member/Pádraic-Ó-Maille.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Edward Aylward","Carlow-Kilkenny","Sinn Féin","/en/members/member/Edward-Aylward.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Robert Childers Barton","Kildare-Wicklow","Sinn Féin","/en/members/member/Robert-Childers-Barton.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Ernest Blythe","Monaghan","Sinn Féin","/en/members/member/Ernest-Blythe.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Harry Boland","Mayo South-Roscommon South","Sinn Féin","/en/members/member/Harry-Boland.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Séamus Aloysius Bourke","Tipperary Mid, North and South","Sinn Féin","/en/members/member/Séamus-Aloysius-Bourke.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Patrick Brennan","Clare","Sinn Féin","/en/members/member/Patrick-Brennan.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Cathal Brugha","Waterford–Tipperary East","Sinn Féin","/en/members/member/Cathal-Brugha.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Donal Buckley","Kildare-Wicklow","Sinn Féin","/en/members/member/Donal-Buckley.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Francis Bulfin","Leix-Offaly","Sinn Féin","/en/members/member/Francis-Bulfin.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Christopher Michael Byrne","Kildare-Wicklow","Sinn Féin","/en/members/member/Christopher-Michael-Byrne.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Piaras Béaslaí","Kerry-Limerick West","Sinn Féin","/en/members/member/Piaras-Béaslaí.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Patrick J. Cahill","Kerry-Limerick West","Sinn Féin","/en/members/member/Patrick-J-Cahill.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Thomas Carter","Leitrim-Roscommon-North","Sinn Féin","/en/members/member/Thomas-Carter.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Frank Joseph Carty","Sligo-Mayo-East","Sinn Féin","/en/members/member/Frank-Joseph-Carty.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Erskine Robert Childers","Kildare-Wicklow","Sinn Féin","/en/members/member/Erskine-Robert-Childers.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Kathleen Clarke","Dublin Mid","Sinn Féin","/en/members/member/Kathleen-Clarke.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Michael P. Colivet","Limerick-City-Limerick-East","Sinn Féin","/en/members/member/Michael-P-Colivet.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Conor Collins","Kerry-Limerick West","Sinn Féin","/en/members/member/Conor-Collins.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Michael Collins","Armagh","Sinn Féin","/en/members/member/Michael-Collins.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Richard Corish","Wexford","Sinn Féin","/en/members/member/Richard-Corish.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Daniel Corkery","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Daniel-Corkery.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Philip B. J. Cosgrave","Dublin North-West","Sinn Féin","/en/members/member/Philip-B-J-Cosgrave.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"William T. Cosgrave","Carlow-Kilkenny","Sinn Féin","/en/members/member/William-T-Cosgrave.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Dr. John Crowley","Mayo North and West","Sinn Féin","/en/members/member/Dr-John-Crowley.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"James Crowley","Kerry-Limerick West","Sinn Féin","/en/members/member/James-Crowley.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Bryan Cusack","Galway","Sinn Féin","/en/members/member/Bryan-Cusack.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Eamon Dee","Waterford–Tipperary East","Sinn Féin","/en/members/member/Eamon-Dee.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Michael James Derham","Dublin County","Sinn Féin","/en/members/member/Michael-James-Derham.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Thomas Derrig","Mayo North and West","Sinn Féin","/en/members/member/Thomas-Derrig.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"James Devins","Sligo-Mayo-East","Sinn Féin","/en/members/member/James-Devins.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"James Nicholas Dolan","Leitrim-Roscommon-North","Sinn Féin","/en/members/member/James-Nicholas-Dolan.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Séamus Doyle","Wexford","Sinn Féin","/en/members/member/Séamus-Doyle.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Frank Drohan","Waterford–Tipperary East","Sinn Féin","/en/members/member/Frank-Drohan.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"George Gavan Duffy","Dublin County","Sinn Féin","/en/members/member/George-Gavan-Duffy.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Edmund John Duggan","Louth-Meath","Sinn Féin","/en/members/member/Edmund-John-Duggan.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Seamus Dwyer","Dublin County","Sinn Féin","/en/members/member/Seamus-Dwyer.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Dr. Ada English","National University of Ireland","Sinn Féin","/en/members/member/Dr-Ada-English.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Seán Etchingham","Wexford","Sinn Féin","/en/members/member/Seán-Etchingham.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Frank Fahy","Galway","Sinn Féin","/en/members/member/Frank-Fahy.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Francis Patrick Ferran","Sligo-Mayo-East","Sinn Féin","/en/members/member/Francis-Patrick-Ferran.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Desmond FitzGerald","Dublin County","Sinn Féin","/en/members/member/Desmond-FitzGerald.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Séamus Fitzgerald","Cork East and North-East","Sinn Féin","/en/members/member/Séamus-Fitzgerald.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Peter Paul Galligan","Cavan","Sinn Féin","/en/members/member/Peter-Paul-Galligan.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Laurence Ginnell","Longford-Westmeath","Sinn Féin","/en/members/member/Laurence-Ginnell.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Arthur Griffith","Cavan","Sinn Féin","/en/members/member/Arthur-Griffith.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Seán Hales","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Seán-Hales.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Michael Hayes","National University of Ireland","Sinn Féin","/en/members/member/Michael-Hayes.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Richard Francis Hayes","Limerick-City-Limerick-East","Sinn Féin","/en/members/member/Richard-Francis-Hayes.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Seán Hayes","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Seán-Hayes.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"William Hayes","Limerick-City-Limerick-East","Sinn Féin","/en/members/member/William-Hayes.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Patrick J. Hogan","Galway","Sinn Féin","/en/members/member/Patrick-J-Hogan.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Peter Hughes","Louth-Meath","Sinn Féin","/en/members/member/Peter-Hughes.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Thomas Hunter","Cork East and North-East","Sinn Féin","/en/members/member/Thomas-Hunter.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Thomas Kelly","Dublin South","Sinn Féin","/en/members/member/Thomas-Kelly.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"David Rice Kent","Cork East and North-East","Sinn Féin","/en/members/member/David-Rice-Kent.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Andrew Lavin","Leitrim-Roscommon-North","Sinn Féin","/en/members/member/Andrew-Lavin.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Frank J. Lawless","Dublin County","Sinn Féin","/en/members/member/Frank-J-Lawless.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"James Lennon","Carlow-Kilkenny","Sinn Féin","/en/members/member/James-Lennon.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Seán Joseph Liddy","Clare","Sinn Féin","/en/members/member/Seán-Joseph-Liddy.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Fionán Lynch","Kerry-Limerick West","Sinn Féin","/en/members/member/Fionán-Lynch.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Joseph Patrick Lynch","Leix-Offaly","Sinn Féin","/en/members/member/Joseph-Patrick-Lynch.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Alasdair Mac Cába","Sligo-Mayo-East","Sinn Féin","/en/members/member/Alexander-McCabe.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Joseph MacBride","Mayo North and West","Sinn Féin","/en/members/member/Joseph-MacBride.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Joseph Michael MacDonagh","Tipperary Mid, North and South","Sinn Féin","/en/members/member/Joseph-Michael-MacDonagh.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Seán MacEntee","Monaghan","Sinn Féin","/en/members/member/Seán-MacEntee.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"General Seán MacEoin","Longford-Westmeath","Sinn Féin","/en/members/member/General-Seán-MacEoin.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Eoin MacNeill","Londonderry City","Sinn Féin","/en/members/member/Eoin-MacNeill.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Mary MacSwiney","Cork Borough","Sinn Féin","/en/members/member/Mary-MacSwiney.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Seán MacSwiney","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Seán-MacSwiney.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Thomas Maguire","Mayo South-Roscommon South","Sinn Féin","/en/members/member/Thomas-Maguire.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Patrick McCartan","Leix-Offaly","Sinn Féin","/en/members/member/Patrick-McCartan.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Daniel McCarthy","Dublin South","Sinn Féin","/en/members/member/Daniel-McCarthy.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Seán McGarry","Dublin Mid","Sinn Féin","/en/members/member/Seán-McGarry.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Joseph McGinley","Donegal","Sinn Féin","/en/members/member/Joseph-McGinley.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Patrick Joseph McGoldrick","Donegal","Sinn Féin","/en/members/member/Patrick-Joseph-McGoldrick.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Joseph McGrath","Dublin North-West","Sinn Féin","/en/members/member/Joseph-McGrath.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Joseph McGuinness","Longford-Westmeath","Sinn Féin","/en/members/member/Joseph-McGuinness.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Justin Charles McKenna","Louth-Meath","Sinn Féin","/en/members/member/Justin-Charles-McKenna.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Liam J. Mellows","Galway","Sinn Féin","/en/members/member/Liam-J-Mellows.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Seán Milroy","Cavan","Sinn Féin","/en/members/member/Seán-Milroy.D.1922-09-09/","2nd Dáil","(1921 - 1922)","128",2
"Patrick James Moloney","Tipperary Mid, North and South","Sinn Féin","/en/members/member/Patrick-James-Moloney.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Seán Moylan","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Seán-Moylan.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Richard James Mulcahy","Dublin North-West","Sinn Féin","/en/members/member/Richard-James-Mulcahy.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Charles Murphy","Dublin South","Sinn Féin","/en/members/member/Charles-Murphy.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"James Edward Murphy","Louth-Meath","Sinn Féin","/en/members/member/James-Edward-Murphy.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"George Nicolls","Galway","Sinn Féin","/en/members/member/George-Nicolls.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Seán Nolan","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Seán-Nolan.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Patrick Joseph O'Byrne","Tipperary Mid, North and South","Sinn Féin","/en/members/member/Patrick-Joseph-O'Byrne.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Donal O'Callaghan","Cork Borough","Sinn Féin","/en/members/member/Donal-O'Callaghan.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Kate (Kathleen) O'Callaghan","Limerick-City-Limerick-East","Sinn Féin","/en/members/member/Katherine-O'Callaghan.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Art O'Connor","Kildare-Wicklow","Sinn Féin","/en/members/member/Art-O'Connor.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Joseph O'Doherty","Donegal","Sinn Féin","/en/members/member/Joseph-O'Doherty.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Tomas O'Donnell","Sligo-Mayo-East","Sinn Féin","/en/members/member/Tomas-O'Donnell.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Thomas O'Donoghue","Kerry-Limerick West","Sinn Féin","/en/members/member/Thomas-O'Donoghue.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"General Eoin O'Duffy","Monaghan","Sinn Féin","/en/members/member/General-Eoin-O'Duffy.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Samuel O'Flaherty","Donegal","Sinn Féin","/en/members/member/Samuel-O'Flaherty.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Brian O'Higgins","Clare","Sinn Féin","/en/members/member/Brian-O'Higgins.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Kevin Christopher O'Higgins","Leix-Offaly","Sinn Féin","/en/members/member/Kevin-Christopher-O'Higgins.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Patrick O'Keeffe","Cork Mid, North, South, South East and West","Sinn Féin","/en/members/member/Patrick-O'Keeffe.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Seán T. O'Kelly","Dublin Mid","Sinn Féin","/en/members/member/Seán-T-O'Kelly.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"John O'Mahoney","Fermanagh and Tyrone","Sinn Féin","/en/members/member/John-O'Mahoney.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Daniel O'Rourke","Mayo South-Roscommon South","Sinn Féin","/en/members/member/Daniel-O'Rourke.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Gearóid O'Sullivan","Carlow-Kilkenny","Sinn Féin","/en/members/member/Gearóid-O'Sullivan.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Margaret Pearse","Dublin County","Sinn Féin","/en/members/member/Margaret-Pearse.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"George Noble Plunkett","Leitrim-Roscommon-North","Sinn Féin","/en/members/member/George-Noble-Plunkett.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Laurence Robbins","Longford-Westmeath","Sinn Féin","/en/members/member/Laurence-Robbins.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Seamus Robinson","Waterford–Tipperary East","Sinn Féin","/en/members/member/Seamus-Robinson.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Edmond Roche","Kerry-Limerick West","Sinn Féin","/en/members/member/Edmond-Roche.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"Patrick Joseph Ruttledge","Mayo North and West","Sinn Féin","/en/members/member/Patrick-Joseph-Ruttledge.D.1921-08-16/","2nd Dáil","(1921 - 1922)","128",2
"James Ryan","Wexford","Sinn Féin","/en/members/member/James-Ryan.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"William Sears","Mayo South-Roscommon South","Sinn Féin","/en/members/member/William-Sears.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
"Philip Shanahan","Dublin Mid","Sinn Féin","/en/members/member/Philip-Shanahan.D.1919-01-21/","2nd Dáil","(1921 - 1922)","128",2
